UrunKodu;Kategori;UrunAciklamasi;UrunAciklamasiEn;BirimFiyat;MaliyetFiyati;EklenmeTarihi;FiyatTL;FiyatUSD;FiyatEUR
LT-C0236;Belli Değil;Ara Mesafe Parçası, Ø 205 x 50 mm;Distance Pieces, Ø 205 x 50 mm;0,00;1610,00;2025-09-04 15:23:18.608;0,00;100,00;0,00
LT-C0237;Belli Değil;Ara Mesafe Parçası, Ø 205 x 80 mm;Distance Pieces, Ø 205 x 80 mm;0,00;1656,00;2025-09-04 15:23:18.609;0,00;115,20;0,00
LT-G0800;Belli Değil;Bilgisayar ve Yazıcı;Computer & Printer;0,00;20000,00;2025-09-04 15:23:18.610;0,00;1100,00;0,00
LT-R0065;Belli Değil;Basınç Jigi, Kaya - Karot Numuneleri için.;Compression Jig Assembly for Rock Core Specimens;0,00;;2025-09-04 15:23:18.611;0,00;324,00;0,00
LT-R0005;Belli Değil;Kayaç mukavametini ölçen Kaya Test Çekici;Rock Classification Hammer (Low Impact Energy Model);0,00;;2025-09-04 15:23:18.612;0,00;0,00;0,00
LT-R0006;Belli Değil;Test Beşiği;Rock Cradle;0,00;;2025-09-04 15:23:18.613;0,00;0,00;0,00
LT-C0091;Belli Değil;Kalibrasyon Örsü;Calibration Anvil;0,00;;2025-09-04 15:23:18.614;0,00;0,00;0,00
LT-R0001;Belli Değil;Dijital Nokta Yükleme Test Cihazı: Hidrolik, 50 kN kapasitelidir. Dijital göstergilidir, Taşıma kutusu ile birlikte verilmektedir.;"Digital Point Load Tester (Rock Strength Index), It consist of a load frame for applying loads up to 50 kN, on which a manual hydraulic jack is mounted. The instrument accepts core specimens up to 4"" (101.6 mm) diameter which are loaded by two cone shaped points. Complete with Manuel hydraulic jack, digital readout head, carrying case and safety mask.";0,00;12260,00;2025-09-04 15:23:18.615;0,00;2082,00;0,00
LT-R0003;Belli Değil;Dijital Nokta Yükleme Test Cihazı: Hidrolik, 100 kN kapasitelidir. Dijital göstergilidir, Taşıma kutusu ile birlikte verilmektedir.;"Digital Point Load Tester (Rock Strength Index), It consist of a load frame for applying loads up to 100 kN, on which a manual hydraulic jack is mounted. The instrument accepts core specimens up to 4"" (101.6 mm) diameter which are loaded by two cone shaped points. Complete with Manuel hydraulic jack, digital readout head, carrying case and safety mask.";0,00;15675,00;2025-09-04 15:23:18.616;0,00;2850,00;
LT-R0002;Belli Değil;"Slake Durabilite Test Cihazı; kaideye monte edilmiş motor sürücü ünitesinden oluşmuştur ve iki tamburu 20 dak./dev. süratle çevirebilecek kabiliyettedir. Tank,tambur mili ekseninin 20 mm altına kadar su ile doldurulur. Test tamburları 2mm tel 140 mm çapta ve 100 mm uzunlukta imal edilmiştir.";"Slake Durability Test Apparatus;The system incorporates a motor drive unit mounted on a baseplate which revolves two stainless steel drums manufactured from 2 mm mesh, 140 mm dia. x 100 mm long.
The tanks are filled with water to a level 20 mm below the drum axis.
A digital timer automatically stops the motor after the preset time. The machine can turn to two drums with 20 rpm.
The equipment is supplied complete with two Drums with tanks, base and accessories.";0,00;3022,00;2025-09-04 15:23:18.617;0,00;2987,00;0,00
LT-R0002/1;Belli Değil;"Test tamburları; 2 adet, 2mm tel 140 mm çapta ve 100 mm uzunlukta imal edilmiştir.";"Drums; two stainless steel drums manufactured from 2 mm mesh, 140 mm dia. x 100 mm long.";0,00;;2025-09-04 15:23:18.618;0,00;600,00;0,00
LT-R0070;Belli Değil;"Kayada Üç Eksenli Testi için, Hook Hücresi ve Yanal Basınç Ünitesi;
Yanal basınç sistemi 700 bar kapasiteli hidrolik pompa ve manometreden oluşmaktadır. Ø 54,74 mm NX tipi hoek hücresi, 5 adet NX tipi hücre membranı, hücre bağlantı adaptörleri ve basınç hortumu ile birlikte verilmektedir.";Triaxial Test Set complete with Hand operated pressure system for lateral pressure in Hoek Cell with 700 bar capacity, Hoek Cell NX, Ø 54,74 mm and Spare Sealing Sleeves for Hoek Cell NX, Ø 54,74 mm.;0,00;;2025-09-04 15:23:18.619;0,00;2262,00;0,00
LT-C0200;Belli Değil;"2000 kN Otomatik Beton Test Presi; EN, Yükleme Gövdesi, Otomatik Hidrolik Güç Ünitesi, Dijital veri okuma & kontrol sistemi, Yazılım,  Ø 200x50mm, Ø 200x70 mm ve Ø 200x80 mm Ara Mesafe Parçaları, Oynarbaşlık sistemli Üst Plaka,  Ø300 mm, Alt Plaka Ø300 mm ile birlikte set olarak verilmektedir. 220 V, 50-60 Hz, 1 ph
***Bilgisayar ayrıca sipariş verilecektir.. ";"2000 kN Automatic Concrete Compression Testing Machine; EN, consist of Load Frame, Automatic Hydraulic Power Pack, Digital data acquisition & control system, Software, Distance Pieces, Ø 200x50 mm, Ø 200x70 mm and Ø 200x80 mm, Upper Platen (with ball seating assembly) Ø300 mm, Lower Platen Ø300 mm, Loading Cylinder Assembly & Limit Switch for safety, Front and Rear Protective Doors for safety. 220 V, 50-60 Hz, 1 ph
***Computer should be ordered separately.";0,00;134072,50;2025-09-04 15:23:18.620;0,00;7700,00;0,00
LT-R0070/1;Belli Değil;Yanal Basınç Ünitesi;Hand Operated Pressure System for Lateral Pressure in Hoek Cell;0,00;;2025-09-04 15:23:18.621;0,00;0,00;0,00
LT-R0070/2;Belli Değil;Hidrolik El Pompası, 700 bar;Hydraulic Power Pack, 700 bar;0,00;;2025-09-04 15:23:18.622;0,00;1350,00;0,00
LT-R0070/3;Belli Değil;Basınç Transduseri ve Dijital Okuma Ünitesi;Pressure Transducer and Digital Readout Unit;0,00;;2025-09-04 15:23:18.623;0,00;0,00;0,00
LT-R0070/4;Belli Değil;Hoek Hücresi, NX, Ø 54,74 mm;Hoek Cell NX, Ø 54,74 mm;0,00;;2025-09-04 15:23:18.624;0,00;0,00;0,00
LT-R0070/5;Belli Değil;Yedek Membran, Hoek Hücresi için.;Spare Sealing Sleeves for LT-R0070/4;0,00;;2025-09-04 15:23:18.625;0,00;0,00;0,00
LT-R1147;Belli Değil;"Taşınabilir Kaya Mekaniği Disk Makaslama Cihazı ASTM D5607 - 5 Adet 30X0.01 mm komparatör saati (4 düşey, 1 yatay), yatay ve düşey yükleme için  manometreli 2 adet el pompası , 1 adet kalıplama aparatı ile komple set.- olarak verilmektedir.
 ";"Rock shear apparatus to ASTM D5607 comprehending: 5 analog gauges 30x0.01 mm (4 vertical and 1 horizontal); 1 mould formers; 2 hand operated pumps for lateral and vertical load
fitted with  gauges.";;;2025-09-04 15:23:18.626;;;
LT- R0080;Belli Değil;Numune çıkarıcı, Hoek üç eksenli hücreleri için;Sample Extruder for Hoek Triaxial Cells;0,00;;2025-09-04 15:23:18.627;0,00;;
LT-S0147;Belli Değil;Otomatik Standart Penetrometre Test;The Motorized Standard Penetration test (SPT);0,00;47547,60;2025-09-04 15:23:18.628;0,00;;
LT-A0004;Belli Değil;"Santrifuj Ekstraktör Test Seti, 1500 g kapasiteli, Dönüş hızı 0- 3600 dev/dk. arasında kademesiz olarak ayarlanabilmektedir. 50 adet filtre kağıdı ile birlikte set olarak verilmektedir. 
220 V, 50-60 Hz, 1 ph";"Centrifuge Extractor, 1500gr capacity, analog control, 0 to 3600 rpm, supplied with filter papers pack of 50. 
220 V, 50-60 Hz, 1ph";0,00;34588,00;2025-09-04 15:23:18.629;0,00;1650,00;0,00
LT-AS0004/1;Belli Değil;"Santrifuj Ekstraktör Filtre Kağıdı, 1500 gr kapasiteli cihaz için, 
1 paket= 50 adet";"Filter Paper for 1500 gr capacity Centrifuge Extractor tests. 
(Pack of 50)";0,00;;2025-09-04 15:23:18.630;0,00;0,00;0,00
LT-AS0004/2;Belli Değil;Santrifuj Ekstraktör Kabı ve Kapağı, 1500 gr kapasiteli cihaz için.;Bowl and Cover for LT-AS0004;0,00;;2025-09-04 15:23:18.631;0,00;0,00;0,00
LT-AS0005;Belli Değil;"Santrifuj Ekstraktör Test Seti, 3000 g kapasiteli, Dönüş hızı 0- 3600 dev/dk. arasında kademesiz olarak ayarlanabilmektedir. 50 adet filtre kağıdı ile birlikte set olarak verilmektedir. 
220 V, 50-60 Hz, 1 ph";"Centrifuge Extractor, 3000gr capacity, analog control, 0 to 3600 rpm, supplied with filter papers pack of 50. 
220 V, 50-60 Hz, 1ph";0,00;34588,00;2025-09-04 15:23:18.632;0,00;1950,00;0,00
LT-AS0005/1;Belli Değil;"Santrifuj Ekstraktör Filtre Kağıdı, 3000 gr kapasiteli cihaz için, 
1 paket= 100 adet";"Filter Paper for 3000 gr capacity Centrifuge Extractor tests. 
(Pack of 50)";0,00;4200,00;2025-09-04 15:23:18.633;0,00;165,00;0,00
LT-AS0005/2;Belli Değil;Santrifuj Ekstraktör Kabı ve Kapağı, 3000 gr kapasiteli cihaz için.;Bowl and Cover for LT-AS0005;0,00;;2025-09-04 15:23:18.634;0,00;450,00;0,00
LT-AS0001;Belli Değil;Reflüks (Soksilet) Ekstraktör Test Seti, 1000 gr kapasiteli, Reflüks Ekstraktör  camı, 2 adet konik tel sepet, yoğunlaştırıcı,amyant tel, elektrikli ısıtıcı ve 50 adet filtre kağıdı ile birlikte set olarak verilmektedir. 220 V, 50-60 Hz, 1 ph;"Reflux Extractor Test Set, 1000gr capacity, complete with glass extractor Jar, two cones wire basket has 500g capacity, condencer, pack of 50 filter papers and hot plate, 
220 V, 50–60 Hz, 1ph";0,00;3082,00;2025-09-04 15:23:18.635;0,00;690,00;0,00
LT-AS0001/1;Belli Değil;"Reflüks Ekstraktör Camı, 1000 gr kapasiteli.
∅ 150*460 mm";"Glass Extractor Jar, 1000 gr capacity for LT-AS0001
150*460 mm";0,00;550,00;2025-09-04 15:23:18.636;0,00;240,00;0,00
LT-AS0001/2;Belli Değil;Reflüks Ekstraktör Yoğunlaştırıcısı, 1000 gr kapasiteli;Condencer, 1000 gr capacity for LT-AS0001;0,00;80,00;2025-09-04 15:23:18.637;0,00;60,00;0,00
LT-AS0001/3;Belli Değil;Reflüks Ekstraktör Konik Sepeti, 500 gr kapasiteli;Cone Wire Basket, 500 gr capacity for LT-AS0001;0,00;741,00;2025-09-04 15:23:18.638;0,00;60,00;0,00
LT-AS0001/4;Belli Değil;Filtre Kağıdı, Reflüks Ekstraktör deneyleri için, 300 mm çap (100 adet);Filter Paper for LT-AS0002, 300 mm dia. (Pack of 50);0,00;375,00;2025-09-04 15:23:18.639;0,00;180,00;0,00
LT-AS0001/5;Belli Değil;Amyant Tel. 12x12 cm;Iron Wire Gauze, 12x12 cm for LT-AS0001;0,00;89,00;2025-09-04 15:23:18.640;0,00;7,20;0,00
LT-G0244;Belli Değil;Tekli Elektrikli Ocak, 1500 Watt, Analog Termostatlı;Single Hot Plate. 1500 Watt. Analog Thermostat.;0,00;750,00;2025-09-04 15:23:18.641;0,00;90,00;0,00
LT-AS0002;Belli Değil;Reflüks (Soksilet) Ekstraktör Test Seti, 4000 gr kapasiteli, Reflüks Ekstraktör  camı, 2 adet konik tel sepet, yoğunlaştırıcı,amyant tel, elektrikli ısıtıcı ve 50 adet filtre kağıdı ve taşıma çantası ile birlikte set olarak verilmektedir. 220 V, 50-60 Hz, 1 ph;"Reflux Extractor Test Set, 4000gr capacity, complete with glass extractor Jar, two cones wire basket has 2000g capacity, condencer, pack of filter papers and hot plate. 
220 V, 50–60 Hz, 1ph";0,00;11806,20;2025-09-04 15:23:18.642;0,00;750,00;0,00
LT-AS0002/1;Belli Değil;"Reflüks Ekstraktör Camı, 4000 gr kapasiteli
Ø 220 x 460 mm";"Glass Extractor Jar, 4000 gr capacity for LT-AS0002
Ø 220 x 460 mm";0,00;4700,00;2025-09-04 15:23:18.643;0,00;270,00;0,00
LT-AS0002/2;Belli Değil;Reflüks Ekstraktör Yoğunlaştırıcısı, 4000 gr kapasiteli;Condencer, 4000 gr capacity for LT-AS0002;0,00;1000,00;2025-09-04 15:23:18.644;0,00;60,00;0,00
LT-AS0002/3;Belli Değil;Reflüks Ekstraktör Konik Sepeti, 2000 gr kapasiteli;Cone Wire Basket, 2000 gr capacity for LT-AS0002;0,00;1016,00;2025-09-04 15:23:18.645;0,00;60,00;0,00
 LT-AS0002/4;Belli Değil;"Filtre Kağıdı, Reflüks Ekstraktör deneyleri için, 400 mm çap 
(50 adet)";Filter Paper for LT-AS0002, 400 mm dia. (Pack of 50);0,00;3500,00;2025-09-04 15:23:18.646;0,00;180,00;0,00
LT-AS0002/5;Belli Değil;Amyant Tel. 16x16 cm;Iron Wire Gauze, 16x16 cm for LT-AS0002;0,00;106,00;2025-09-04 15:23:18.647;0,00;9,00;0,00
LT-G0244;Belli Değil;Tekli Elektrikli Ocak, 1500 Watt, Analog Termostatlı;Single Hot Plate. 1500 Watt. Analog Thermostat.;0,00;750,00;2025-09-04 15:23:18.648;0,00;90,00;0,00
LT-AS0110;Belli Değil;"Trikloretilen Geri Kazanma Cihazı, 10 litre/saat kapasiteli elektrikli ısıtıcı ve su soğutma sistemine sahiptir. 10m plastik tüp, tüp kıskaçları, 0.6 mm göz açıklığında bağlantı yuvası ve  kapağı ile birlikte set olarak verilmektedir.  
220 V, 50-60 Hz, 1 ph";"Solvent Recovery Unit, 10 litres/h capacity with electric heater and water cooling system complete with 10m plastic tube, tube clamps, sieve insert 0.6 mm opening and one lid.  
220 V, 50-60 Hz, 1 ph";0,00;;2025-09-04 15:23:18.649;0,00;2100,00;0,00
LT-AS0069;Belli Değil;"Binder Geri Kazanım Cihazı, tüm geri kazanım döngüsü sırasında kaynayan su tutmak için Dijital Termostat kontrollü Su Banyosu ile birlikte kullanılmaktadır. Su Banyosu kapaklıdır.
Vakum Pompası, Vakum Göstergesi, 6 m Hortum, 1000 ml lastik tıpalı Erlenmayer, 2 adet 250 ml düz tabanlı lastik tıpalı Cam Şişe ve diğer gerekli bağlantı parçaları ile birlikte verilmektedir.";"The apparatus consists of Thermostatically controlled Water Bath to keep boiling water
during all the recovery cycle, complete with cover and digital thermostat, Vacuum Pump with
Vacuum Gauge Manometer, 6 m Tubing for Vacuum, 1000 ml Filter Flask with rubber bung,";;;2025-09-04 15:23:18.650;;;
LT-AS0125;Belli Değil;"Vakum Piknometresi Set; 10 lt Paslanmaz Çelik Vakum Piknometresi, Zaman Kontrollü Sallayıcı,Ø 63 mm -760 mmHg vakum manometre ve 250 ml Erlenmayer ile birlikte. Vakum Pompası, Tek Kademe, 51 lt/dak. Akış Hızı, 2 Pa Vakum Gücü, Yağlı Tip, 220 V, 50-60 Hz, 1 Ph";"Vacuum Pyknometer Test Set; Complete With 10 lt Stainless Steel Vacuum Pycnometer, Vibro-Deaerator, Vacuum Pump, 1,5 m tubing for vacuum, Vacuum Gauge and Filter Flask 250 ml. 220 V, 50-60 Hz, 1 ph";0,00;24483,53;2025-09-04 15:23:18.651;0,00;1770,00;0,00
LT-AS0125/1;Belli Değil;Vakum Piknometresi. 10 lt, Paslanmaz Çelik;"Vacuum Pyknometer; 10 lt, Stainless Steel";0,00;750,00;2025-09-04 15:23:18.652;0,00;681,00;0,00
LT-G0022;Belli Değil;Elek Sallama Cihazı, 200 mm ve 300 mm çapında elekler için, zaman ayarlı, 220-240V 50-60Hz 1Ph;"Sieve Shaker, for 200 mm and 300 mm sieves. The shaker is fitted with digital timer which can be pre-set for any duration up to
99 minutes. 220-240V 50-60Hz 1Ph";0,00;13342,68;2025-09-04 15:23:18.653;0,00;720,00;0,00
LT-G0209;Belli Değil;Vakum Pompası, Tek Kademe, 51 lt/dak. Akış Hızı, 2 Pa Vakum Gücü, Yağlı Tip, 220 V, 50-60 Hz, 1 Ph;"Vacuum Pump, Single Stage, 51 l/min Flow Rate, 2 Pa Partial
Pressure, Forced Oil Cycling System, 220 V, 50-60 Hz, 1 Ph";0,00;5000,00;2025-09-04 15:23:18.654;0,00;195,00;0,00
LT-G0210/1;Belli Değil;Hortum. 1.5 metre;Hose for Vacuum Pump. 1.5 m;0,00;10,00;2025-09-04 15:23:18.655;0,00;9,00;0,00
LT-G0210/2;Belli Değil;Ø 63 mm  -760 mmHg Manometre;Ø 63 mm 1000 mbar Vacuum Gauge;0,00;75,00;2025-09-04 15:23:18.656;0,00;45,00;0,00
LT-G0093;Belli Değil;Nuce Erlenmayer 250ml;Filter Flask 250ml;0,00;371,00;2025-09-04 15:23:18.657;0,00;18,00;0,00
LT-AS0013;Belli Değil;"Benzin motorlu Karot Makinası; Tekerleklidir. Su püskürtme aparatı cihaz üzerine montelidir. 4 noktadan yere sabitlenebilmektedir.  6,5 hp Amerikan Malı Motor Kullanılmaktadır. Karot bıçakları ayrıca sipariş edilmelidir.";Core Drilling Machine, petrol engine, up to dia. 200mm coring range, portable unit equipped with wheels. 6,5 hp American Petrol Engine. Core bits have to be ordered separately.;0,00;30849,00;2025-09-04 15:23:18.658;0,00;2187,00;0,00
LT-AS0016;Belli Değil;"Römorklu Asfalt Karot Makinesi; 150 mm çapa kadar karot alma kapasitesi.Cihaz bir römork içerisine yerleştirilmiştir. Römork araba ile çekilebilir tiptedir ve branda ile kapatılmıştır. Benzin motorludur. İçerisinde 100 lt kapasiteli su tankı bulunmaktadır. 3 noktadan yere sabitlenebilmektedir.  6,5 hp Amerikan Malı Motor Kullanılmaktadır.  Karot bıçakları ayrıca sipariş edilmelidir.";Core Drilling Machine on trailer, 6,5 hp American Petrol Engine, up to dia. 200mm coring range, with 100 lt water tank, portable unit equipped with wheels. Core bits have to be ordered separately.;0,00;49270,30;2025-09-04 15:23:18.659;0,00;3250,00;0,00
LT-AS0020;Belli Değil;Karot Bıçağı, asfalt numuneleri için, Ø50 mm, 400mm boy;Core Bit, for asphalt samples, Ø50 mm, 400mm height;0,00;1607,00;2025-09-04 15:23:18.660;0,00;150,00;0,00
LT-AS0021;Belli Değil;Karot Bıçağı, asfalt numuneleri için, Ø75 mm, 400mm boy;Core Bit, for asphalt samples, Ø75 mm, 400mm height;0,00;1862,00;2025-09-04 15:23:18.661;0,00;165,00;0,00
LT-AS0022;Belli Değil;Karot Bıçağı, asfalt numuneleri için, Ø100 mm, 400mm boy;Core Bit, for asphalt samples, Ø100 mm, 400mm height;0,00;2665,00;2025-09-04 15:23:18.662;0,00;180,00;0,00
LT-AS0023;Belli Değil;Karot Bıçağı, asfalt numuneleri için, Ø150 mm, 400mm boy;Core Bit, for asphalt samples, Ø150 mm, 400mm height;0,00;3900,00;2025-09-04 15:23:18.663;0,00;249,00;0,00
LT-AS0024;Belli Değil;Karot Bıçağı, asfalt numuneleri için, Ø200 mm, 400mm boy;Core Bit, for asphalt samples, Ø200 mm, 400mm height;0,00;5965,00;2025-09-04 15:23:18.664;0,00;330,00;0,00
LT-AS0008;Belli Değil;"Asfalt mikseri; 5 litre kapasiteli olup asfalt karışımların homojen olarak karıştırılmasını sağlar. Cihaz üzerindeki potansiyometreden cihaz hızı ayarlanabilir. 5 litre kapasiteli karıştırma kabı ve karıştırma paleti ile birlikte verilmektedir. Elektrikli Isıtıcı ayrıca sipariş edilmelidir. 220 V, 50-60 Hz, 1 ph";"Asphalt mixer; 5 litre capacity. Supplied complete with 5 lt capacity stainless steel bowl, and whisk.  Electric heater should be ordered separately. 220 V, 50-60 Hz, 1ph";0,00;35000,00;2025-09-04 15:23:18.665;0,00;2100,00;2000,00
LT-AS0008/1;Belli Değil;Asfalt Mikseri Karıştırma Kabı, 5 litre kapasiteli.;Mixing Bowl for Asphalt mixer for LT-AS0008;0,00;3000,00;2025-09-04 15:23:18.666;0,00;180,00;0,00
LT-AS0008/2;Belli Değil;Asfalt Mikseri Karıştırma Paleti;Mixing Whisk for Asphalt mixer for LT-AS0008;0,00;2000,00;2025-09-04 15:23:18.667;0,00;165,00;0,00
LT-AS0008/3;Belli Değil;"Elektrikli asfalt mikseri alt ısıtıcısı. 5 litre kapasiteli.
220 V, 50-60 Hz, 1 ph";Heating mantle for LT-AS0008. 220 V, 50-60 Hz, 1 ph;0,00;2000,00;2025-09-04 15:23:18.668;0,00;420,00;0,00
LT-AS0009;Belli Değil;"Asfalt mikseri; 10 litre kapasiteli olup asfalt karışımların homojen olarak karıştırılmasını sağlar. Cihaz üzerindeki potansiyometreden cihaz hızı ayarlanabilir.  Mikser ile 10 litre kapasiteli karıştırma kabı ve karıştırma paleti standart olarak verilir. Elektrikli Isıtıcı ayrıca sipariş edilmelidir. 220 V, 50-60 Hz, 1 ph";"Asphalt mixer; 10 litre capacity. Supplied complete with 10 lt capacity stainless steel bowl, and whisk. Electric heater should be ordered separately. 220 V, 50-60 Hz, 1ph";0,00;45000,00;2025-09-04 15:23:18.669;0,00;2670,00;4200,00
LT-AS0009/1;Belli Değil;Asfalt Mikseri Karıştırma Kabı, 10 litre kapasiteli.;Mixing Bowl for LT-AS0009;0,00;5500,00;2025-09-04 15:23:18.670;0,00;320,00;0,00
LT-AS0009/2;Belli Değil;Asfalt Mikseri Karıştırma Paleti;Mixing Whisk for LT-AS0009;0,00;3500,00;2025-09-04 15:23:18.671;0,00;320,00;300,00
LT-AS0009/3;Belli Değil;"Elektrikli asfalt mikseri alt ısıtıcısı. 10 litre kapasiteli.
220 V, 50-60 Hz, 1 ph";Heating mantle for LT-AS0009. 220 V, 50-60 Hz, 1 ph;0,00;6000,00;2025-09-04 15:23:18.672;0,00;630,00;0,00
LT-AS0010;Belli Değil;"Asfalt mikseri; 20 litre kapasiteli olup asfalt karışımların homojen olarak karıştırılmasını sağlar. Cihaz üzerindeki potansiyometreden cihaz hızı ayarlanabilir.  Mikser ile 20 litre kapasiteli karıştırma kabı ve karıştırma paleti standart olarak verilir.  Elektrikli Isıtıcı ayrıca sipariş edilmelidir. 220 V, 50-60 Hz, 1 ph";"Asphalt mixer; 20 litre capacity. Supplied complete with 20 lt capacity stainless steel bowl, and whisk. Electric heater should be ordered separately. 220 V, 50-60 Hz, 1ph";0,00;55000,00;2025-09-04 15:23:18.673;0,00;7500,00;7000,00
LT-AS00010/1;Belli Değil;Asfalt Mikseri Karıştırma Kabı, 20 litre kapasiteli.;Mixing Bowl for LT-AS0010;0,00;;2025-09-04 15:23:18.674;0,00;0,00;0,00
LT-AS00010/2;Belli Değil;Asfalt Mikseri Karıştırma Paleti;Mixing Whisk for LT-AS0010;0,00;1000,00;2025-09-04 15:23:18.675;0,00;350,00;320,00
LT-AS00010/3;Belli Değil;"Elektrikli asfalt mikseri alt ısıtıcısı. 20 litre kapasiteli.
Max. 200 C. 220 V, 50-60 Hz, 1 ph";Heating mantle for LT-AS0010. 220 V, 50-60 Hz, 1 ph;0,00;;2025-09-04 15:23:18.676;0,00;0,00;0,00
LT-AS0043;Belli Değil;"Manuel Marshall Tokmak; 4536±9 gr ağırlığındaki tokmak kullanıcı tarafından 457±3 mm yükseklikten düşürülmektedir.
Tahta kaide, taşıma mekanizması ve tokmaktan meydana gelmektedir.";"Manual Marshall Compactor is used to compact Marshall Specimens with hand, manually. The sliding weight is 4536 ± 9 gr and dropped by the user from a height of 457 ± 3 mm manually.
The assembly consists of a compaction hammer, wooden compaction
pedestal, support rod to hold the hammer in perpendicular position and mould holder.";0,00;2750,00;2025-09-04 15:23:18.677;0,00;750,00;0,00
LT-AS0043/1;Belli Değil;Marshall Sıkıştırma Tokmağı;Compaction Hammer;0,00;;2025-09-04 15:23:18.678;0,00;290,00;0,00
LT-AS0043/2;Belli Değil;Marshall Tokmak için Ahşap Kaide;Compaction Pedestal;0,00;;2025-09-04 15:23:18.679;0,00;150,00;0,00
LT-AS0045;Belli Değil;"Otomatik Marshall Tokmak; EN, 4535±15 gr ağırlığındaki tokmak otomatik olarak 457±5 mm yükseklikten düşmektedir. Vuruş sayıları istenen sayıda ayarlanabilmekte ve belirlenen vuruş sayısı sona erdiğinde cihaz otomatik olarak durmaktadır. Vuruş sayısının kontrol edildiği Dijital sayaç cihaz üzerinde bulunmaktadır.
220 V, 50-60 Hz, 1 ph";Automatic Marshall Compactor, EN, digital counter, 457±5 mm falling heigth, 4535±15 gr hammer weight, mechanism to stop  automatically at determined number of counts,  automatic unit includes mechanical compactor, wooden compaction pedestal and mold assembly. 220 V, 50-60 Hz, 1 ph;0,00;60000,00;2025-09-04 15:23:18.680;0,00;2109,00;0,00
LT-AS0046;Belli Değil;"Otomatik Marshall Tokmak; ASTM, 4536±9 gr ağırlığındaki tokmak otomatik olarak 457±3 mm yükseklikten düşmektedir. Vuruş sayıları istenen sayıda ayarlanabilmekte ve belirlenen vuruş sayısı sona erdiğinde cihaz otomatik olarak durmaktadır. Vuruş sayısının kontrol edildiği Dijital sayaç cihaz üzerinde bulunmaktadır.
220 V, 50-60 Hz, 1 ph";"Automatic Marshall Compactor, ASTM, digital counter, 457±3 mm falling heigth, 4536±9 gr hammer weight, mechanism to stop  automatically at determined number of counts,  automatic unit includes mechanical compactor, wooden compaction pedestal and mold assembly. 
220 V, 50-60 Hz, 1 ph";0,00;60000,00;2025-09-04 15:23:18.681;0,00;2109,00;0,00
LT-AS0042;Belli Değil;"Marshall Kalıp; Alt Taban Plakası, Kalıp, Doldurma Yakası ile birlikte set olarak verilmektedir. Çelikten imal edilmiştir.
100 mm çapında üretilmektedir.";"Marshall Compaction Mould, galvanised steel, 4"" dia, Complete with base plate, mould body and collar. Marshall Mould is made of Steel
and plated against corrosion.";0,00;852,00;2025-09-04 15:23:18.682;0,00;65,00;0,00
LT-AS0042/1;Belli Değil;Marshall Kalıp Gövdesi;Mould Body;0,00;;2025-09-04 15:23:18.683;0,00;28,00;0,00
LT-AS0042/2;Belli Değil;Marshall Kalıp için Alt Taban Plakası;Base plate;0,00;;2025-09-04 15:23:18.684;0,00;20,00;0,00
LT-AS0042/3;Belli Değil;Marshall Kalıp için Doldurma Yakası;Collar;0,00;;2025-09-04 15:23:18.685;0,00;17,00;0,00
LT-U0035;Belli Değil;"Marshall-CBR Numune Çıkarıcı; 4”, 6”, 100 mm ve 150 mm çaplı numune kalıplarında sıkışmış numunenin kolay bir şekilde çıkarılması için tasarlanmıştır. 5 ton kaldırma kapasitelidir. Kuvvet el ile basmalı hidrolik kriko ile sağlanmaktadır.";Marshall- CBR Sample Extruder, 50kN extrusion force, hydraulic sample ejector. Complete with ∅ 4”, 6”, 100 mm and 150 mm  adaptors to extrude standard and modified proctor, CBR and marshall molds.;0,00;2970,00;2025-09-04 15:23:18.686;0,00;437,00;0,00
LT-AS0050;Belli Değil;"Marshall Stabilite Test Cihazı; Elektrik motoru ile çalışır ve bu motor 50.8 mm/dakida platen hızı sağlar. Yük kapasitesi 50 kN dur. Akma ölçüm cihazı ± 0.1mm doğrulukla ölçüm yapabilmektedir. Cihaz tam otomatiktir. Stabilite ve Akma değerleri dijital olarak görülebilmektedir. Alt ve üst kırma başlıkları, 50 kN kapasiteli yük hücresi (load cell), akma transduseri ile birlikte set olarak verilmektedir. Stabilite ve alma değerleri 7"" TFT dokunmatik ekranda test sonrası otomatik olarak görülebilmektedir.
220-240V, 50-60Hz, 1 faz";"Digital Marshall Stability Test Machine; 50 kN capacity. Supplied with 50 kN load cell, flow transducer and Breaking Head for 4"" samples. 220-240V, 50-60Hz, 1ph";0,00;54801,00;2025-09-04 15:23:18.687;0,00;3400,00;0,00
LT-AS0050/1;Belli Değil;"Kırma Başlığı; 100mm Marshall numuneleri için.";"Breaking Head Stability Mould; 100mm for Marshall samples.";0,00;;2025-09-04 15:23:18.688;0,00;210,00;0,00
LT-AS0050/2;Belli Değil;"Kırma Başlığı; 150mm Marshall numuneleri için.";"Breaking Head Stability Mould; 150mm for Marshall samples.";0,00;;2025-09-04 15:23:18.689;0,00;270,00;0,00
LT-G8035;Belli Değil;Load cell, 50 kN kapasiteli;Load cell, 50 kN capacity;0,00;;2025-09-04 15:23:18.690;0,00;264,00;0,00
