UrunKodu;Kategori;UrunAciklamasi;UrunAciklamasiEn;BirimFiyat;MaliyetFiyati;EklenmeTarihi;FiyatTL;FiyatUSD;FiyatEUR
LT-G0206;Belli Değil;"Laboratuar Etüvü, 1000 litre kapasiteli, 
ortam sıcaklığı ile 200°C  ±2°C arasında, PID dijital kontrol sistemli, Güvenlik termostatlı, Dahili Hava Sirkülasyon Sistemli, İç Yüzey Yapısı : Paslanmaz Çelik İç Hazne, Dış Yüzey Yapısı : Elektrostatik Toz Boyalı Çelik, 5 adet ayarlanabilir raf ile birlikte verilmektedir. 380 V, 50-60 Hz, 3 ph";Laboratory oven, 1000 L capacity, ambient to 200°C ±2°C, PID digital control system, equipped of a dual safety thermostat, fan circulated, stainless steel interior, electrostatic painted exterior,  4 adjustable shelves. 380 V, 50-60 Hz, 3 ph;0,00;64000,00;2025-09-04 15:23:18.030;0,00;4250,00;4100,00
LT-G4600;Belli Değil;"Laboratuar Etüvü, 4600 litre kapasiteli, 
ortam sıcaklığı ile 200°C  ±2°C arasında, PID dijital kontrol sistemli, Güvenlik termostatlı, Dahili Hava Sirkülasyon Sistemli, İç Yüzey Yapısı : Paslanmaz Çelik İç Hazne, Dış Yüzey Yapısı : Elektrostatik Toz Boyalı Çelik, 2 adet etüv arabası ile birlikte verilmektedir. 380 V, 50-60 Hz, 3 ph";Laboratory oven, 4600 L capacity, ambient to 200°C ±2°C, PID digital control system, equipped of a dual safety thermostat, fan circulated, stainless steel interior, electrostatic painted exterior,  2  trolley. 380 V, 50-60 Hz, 3 ph;0,00;88000,00;2025-09-04 15:23:18.031;0,00;4250,00;4100,00
LT-G0207;Belli Değil;Etüv Resiztans;Resistance ;750,00;200,00;2025-09-04 15:23:18.032;750,00;22,00;21,00
LT-G0208;Belli Değil;Etüv Fan Motoru;Laboratory oven Fan;0,00;300,00;2025-09-04 15:23:18.033;0,00;15,00;14,00
LT-G0275;Belli Değil;"Kül Fırını;
Kullanılır hacim: 4 litre
Sıcaklık Çalısma Aralığı : 1100 ºC
Kontrol Sistemi : PID & MP
Sıcaklık Hassasiyeti : ± 2 ºC
İç yüzey Yapısı : Fiber Plaka ve Ates Tuğlası
Dış Yüzey Yapısı : Elektrostatik Toz Boyalı Çelik
220 V, 50-60 Hz, 1 ph";"Muffle furnace, 
Capacity: 4 L,
Max. Temperature: 1100°C 
Control System: PID & MP, 
Temperature Sensitivity: ± 2 ºC
Internal Surface Material: Fiber plate and Fire Brick,
Ext. Surface Material: Steel with Electrostatic Powder Paint
220 V, 50-60 Hz, 1 ph
";0,00;53130,00;2025-09-04 15:23:18.034;0,00;2010,00;0,00
LT-G0276;Belli Değil;"Kül Fırını;
Kullanılır hacim: 7 litre
Sıcaklık Çalısma Aralığı : 1100 ºC
Kontrol Sistemi : PID & MP
Sıcaklık Hassasiyeti : ± 2 ºC
İç yüzey Yapısı : Fiber Plaka ve Ates Tuğlası
Dış Yüzey Yapısı : Elektrostatik Toz Boyalı Çelik
220 V, 50-60 Hz, 1 ph";"Muffle furnace, 
Capacity: 7 L,
Max. Temperature: 1100°C 
Control System: PID & MP, 
Temperature Sensitivity: ± 2 ºC
Internal Surface Material: Fiber plate and Fire Brick,
Ext. Surface Material: Steel with Electrostatic Powder Paint
220 V, 50-60 Hz, 1 ph
";0,00;66000,00;2025-09-04 15:23:18.035;0,00;2310,00;0,00
LT-G0277;Belli Değil;"Kül Fırını;
Kullanılır hacim: 10 litre
Sıcaklık Çalısma Aralığı : 1100 ºC
Kontrol Sistemi : PID & MP
Sıcaklık Hassasiyeti : ± 2 ºC
İç yüzey Yapısı : Fiber Plaka ve Ates Tuğlası
Dış Yüzey Yapısı : Elektrostatik Toz Boyalı Çelik
380 V, 50-60 Hz, 3 ph";"Muffle furnace, 
Capacity: 10 L,
Max. Temperature: 1100°C 
Control System: PID & MP, 
Temperature Sensitivity: ± 2 ºC
Internal Surface Material: Fiber plate and Fire Brick,
Ext. Surface Material: Steel with Electrostatic Powder Paint
380 V, 50-60 Hz, 3 ph
";0,00;80000,00;2025-09-04 15:23:18.036;0,00;3195,00;0,00
LT-G0278;Belli Değil;"Kül Fırını;
Kullanılır hacim: 20 litre
Sıcaklık Çalısma Aralığı : 1100 ºC
Kontrol Sistemi : PID & MP
Sıcaklık Hassasiyeti : ± 2 ºC
İç yüzey Yapısı : Fiber Plaka ve Ates Tuğlası
Dış Yüzey Yapısı : Elektrostatik Toz Boyalı Çelik
380 V, 50-60 Hz, 3 ph";"Muffle furnace, 
Capacity: 20 L,
Max. Temperature: 1100°C 
Control System: PID & MP, 
Temperature Sensitivity: ± 2 ºC
Internal Surface Material: Fiber plate and Fire Brick,
Ext. Surface Material: Steel with Electrostatic Powder Paint
380 V, 50-60 Hz, 3 ph
";0,00;96600,00;2025-09-04 15:23:18.037;0,00;0,00;0,00
LT-G0283;Belli Değil;"Kül Fırını;
Kullanılır hacim: 45 litre
Sıcaklık Çalısma Aralığı : 1100 ºC
Kontrol Sistemi : PID & MP
Sıcaklık Hassasiyeti : ± 2 ºC
İç yüzey Yapısı : Fiber Plaka ve Ates Tuğlası
Dış Yüzey Yapısı : Elektrostatik Toz Boyalı Çelik
380 V, 50-60 Hz, 3 ph";"Muffle furnace, 
Capacity: 45 L,
Max. Temperature: 1100°C 
Control System: PID & MP, 
Temperature Sensitivity: ± 2 ºC
Internal Surface Material: Fiber plate and Fire Brick,
Ext. Surface Material: Steel with Electrostatic Powder Paint
380 V, 50-60 Hz, 3 ph
";0,00;140000,00;2025-09-04 15:23:18.038;0,00;0,00;0,00
LT-G0279;Belli Değil;"Kül Fırını;
Kullanılır hacim: 4 litre
Sıcaklık Çalısma Aralığı : 1200 ºC
Kontrol Sistemi : PID & MP
Sıcaklık Hassasiyeti : ± 2 ºC
İç yüzey Yapısı : Fiber Plaka ve Ates Tuğlası
Dış Yüzey Yapısı : Elektrostatik Toz Boyalı Çelik
220 V, 50-60 Hz, 1 ph";"Muffle furnace, 
Capacity: 4 L,
Max. Temperature: 1200°C 
Control System: PID & MP, 
Temperature Sensitivity: ± 2 ºC
Internal Surface Material: Fiber plate and Fire Brick,
Ext. Surface Material: Steel with Electrostatic Powder Paint
220 V, 50-60 Hz, 1 ph";0,00;53130,00;2025-09-04 15:23:18.039;0,00;2490,00;0,00
